title,price,rating,image,cpu,ram,storage,screen,os_version,display_resolution,model_number,link,spec_adobe_flash_compatible,spec_audio_jack,spec_bag_style,spec_battery_life,spec_battery_size,spec_care_instructions,spec_casing,spec_charging_type,spec_closure,spec_colour_name,spec_compatibility,spec_connection_type,spec_cpu_speed,spec_display_resolution,spec_display_type,spec_exterior_material,spec_external_graphics,spec_feature,spec_features,spec_gender,spec_gpu_version,spec_grade,spec_graphic_memory,spec_hdd_rotation,spec_hdmi_output,spec_interior_material,spec_internal_memory,spec_keyboard_language,spec_level,spec_material,spec_model_name,spec_model_number,spec_model_series,spec_number_of_channels,spec_number_of_cores,spec_number_of_hdmi_ports,spec_number_of_pieces,spec_number_of_usb_ports,spec_occasion,spec_operating_system,spec_operating_system_number,spec_os_version,spec_pack_quantity,spec_pattern,spec_pixels_per_inch,spec_processor_version,spec_processor_version_number_generation,spec_product_height,spec_product_length,spec_product_weight,spec_product_width,spec_ram_size,spec_ram_type,spec_refresh_rates,spec_resolution,spec_response_time,spec_screen_size,spec_sd_card_slot,spec_set_includes,spec_sim_type,spec_size,spec_strap_material,spec_type,spec_usage,spec_usb_port_type,spec_version,spec_weight,spec_what_s_in_the_box,spec_wireless
"MateBook D 14 Laptop With 14-Inch Full HD Display, 13th Core i5-13420H processor/16GB RAM/512GB SSD/Intel Iris XE Graphics/Windows 11 Home/ English/Arabic Mystic Silver",2649.00,4.2,https://f.nooncdn.com/p/pnsku/N70135767V/45/_/1734607270/a9699420-0abf-4ac0-808c-7f8499593f03.jpg?width=1200,Core i5-13420H,16 GB,512 TB,14 in,Windows 11 Home,1920x1200,MendelG-W5651D / MDG-W5651D,https://www.noon.com/saudi-en/matebook-d-14-laptop-with-14-inch-full-hd-display-13th-core-i5-13420h-processor-16gb-ram-512gb-ssd-intel-iris-xe-graphics-windows-11-home-english-arabic-mystic-silver/N70135767V/p/,,,,,,,,,,Mystic Silver,,,4.6 GHz,1920x1200,,,Integrated,,Eye Care,,Intel Iris XE,,,,no,,512 TB,English/Arabic,,,,MendelG-W5651D / MDG-W5651D,Huawei MateBook D,,12-Core,1,,2,,Windows,,Windows 11 Home,,,,Core i5-13420H,13th Gen,,,,,16 GB,DDR4,,Full HD,,14 in,no,,,,,SSD,Business,,,,1. PC * 1 2. USB-C power adapter * 1 (integrated connection between adapter and charging cable) 3. Quick start * 1,Wireless
"Ideapad Slim 3 (Upgraded Version) Laptop With 15.6-Inch FHD Display, Core i7-13620H Processor/16GB RAM/512GB SSD/Intel UHD Graphics/Windows 11/ English/Arabic Arctic Grey",2599.00,4.0,https://f.nooncdn.com/p/pnsku/N70112070V/45/_/1726588073/0cfeb496-8d09-4766-abcc-753244c366eb.jpg?width=1200,Core i7-13620H,16 GB,512 GB,15.6 in,Windows 11,1920x1080,83EM0098AD/W11,https://www.noon.com/saudi-en/ideapad-slim-3-upgraded-version-laptop-with-15-6-inch-fhd-display-core-i7-13620h-processor-16gb-ram-512gb-ssd-intel-uhd-graphics-windows-11-english-arabic-arctic-grey/N70112070V/p/,,,,8 Hours,,,,,,Arctic Grey,,HDMI,3.6 GHz,1920x1080,LED,,Integrated,,Upgraded Version,,Intel UHD 600,,2 GB,,Yes,,512 GB,English/Arabic,,,Ideapad slim 3,83EM0098AD/W11,Lenovo IdeaPad,,10-Core,1,,4,,Windows,,Windows 11,,,,Core i7-13620H,13th Gen,,,,,16 GB,LPDDR5,,Full HD,,15.6 in,Yes,,,,,SSD,Business,,,,,
"250 G9 (Upgraded Version) Laptop With 15.6 Inch Full HD (1920x1080) Display, Intel Celeron N4500 Processor/4GB RAM DDR4/256GB SSD/Windows 11/ English/Arabic Dark Silver",1299.00,4.0,https://f.nooncdn.com/p/pnsku/N70281438V/45/_/1769515556/04c5a2a4-ef05-4ef0-bd8c-6c0c9dce9eba.jpg?width=1200,Celeron N4500,4 GB,256 GB,15.6 in,Windows 11,1920x1080,B2NP1ES,https://www.noon.com/saudi-en/250-g9-upgraded-version-laptop-with-15-6-inch-full-hd-1920x1080-display-intel-celeron-n4500-processor-4gb-ram-ddr4-256gb-ssd-windows-11-english-arabic-dark-silver/N70281438V/p/,,,,,,,,,,Dark Silver,,,1.1 GHz,1920x1080,,,Integrated,,,,,,,,,,256 GB,English/Arabic,,,250 G9,B2NP1ES,HP G Series,,Dual Core,,,,,Windows,,Windows 11,,,,Celeron N4500,Not Applicable,,,,,4 GB,DDR4,,Full HD,,15.6 in,,,,,,SSD,Business,,,,,
"IdeaPad Slim 3 15IRH8 (Upgraded Version) Laptop With 15.6-Inch Display, Core i7 13620H Processor/16GB RAM/512GB SSD/Intel UHD Graphics/Windows 11/ English Arctic Grey",2699.00,3.8,https://f.nooncdn.com/p/pnsku/N70060949V/45/_/1741620964/4d8406d7-61a4-42b7-bf58-03d1e805609d.jpg?width=1200,Core i7-13620H,16 GB,512 GB,15.6 in,Windows 11,1920x1080,83EM003TPS / 83EMOOH6IN/83EMOOERLK,https://www.noon.com/saudi-en/ideapad-slim-3-15irh8-upgraded-version-laptop-with-15-6-inch-display-core-i7-13620h-processor-16gb-ram-512gb-ssd-intel-uhd-graphics-windows-11-english-arctic-grey/N70060949V/p/,,,,8 Hours,,,,,,Arctic Grey,,HDMI,1.8 GHz,1920x1080,IPS,,Integrated,,Anti Glare,,Intel UHD 600,,,,Yes,,512 GB,English,,,83EM003TPS,83EM003TPS / 83EMOOH6IN/83EMOOERLK,Lenovo IdeaPad,,10-Core,1,,3,,Windows,,Windows 11,,,,Core i7-13620H,13th Gen,,,,,16 GB,LPDDR5,,Full HD,,15.6 in,Yes,,,,,SSD,Personal,,,,,
"Surface Laptop 7 Copilot+ PC Laptop With 13.8-Inch Display, Qualcomm Snapdragon X Plus Processor/16GB RAM/512GB SSD/Qualcomm Adreno Graphics/Windows 11 Home English/Arabic DUNE",5149.00,4.5,https://f.nooncdn.com/p/pnsku/N70103833V/45/_/1767358448/6d5c329e-af74-4dca-9705-b42758251b46.jpg?width=1200,Qualcomm Snapdragon X Plus,16 GB,512 GB,13.8 in,Windows 11 Home,1920x1080,ZGM-00079,https://www.noon.com/saudi-en/surface-laptop-7-copilot-pc-laptop-with-13-8-inch-display-qualcomm-snapdragon-x-plus-processor-16gb-ram-512gb-ssd-qualcomm-adreno-graphics-windows-11-home-english-arabic-dune/N70103833V/p/,,,,14 Hours,,,,,,DUNE,,HDMI,3.4 GHz,1920x1080,LED,,Integrated,,,,,,,,Yes,,512 GB,English/Arabic,,,Surface Laptop 7 Copilot+ PC,ZGM-00079,Microsoft Surface Laptop,,12-Core,1,,2,,Windows,,Windows 11 Home,,,,Qualcomm Snapdragon X Plus,Not Applicable,,,,,16 GB,DDR5,,Full HD,,13.8 in,Yes,,,,,SSD,Business,,,,,
"Renewed - EliteBook 840 G3 Laptop With 14-Inch HD Display, Intel Core i5 Processor/6th Gen/8GB RAM/256GB SSD/Intel HD Graphics English Black",959.00,3.1,https://f.nooncdn.com/p/pnsku/N53386811A/45/_/1760438469/5648d731-78ce-4360-9649-54b1cb56fb43.jpg?width=1200,Core i5,8 GB,256 GB,14 in,Windows 10,1366x768,840 G3,https://www.noon.com/saudi-en/renewed-elitebook-840-g3-laptop-with-14-inch-hd-display-intel-core-i5-processor-6th-gen-8gb-ram-256gb-ssd-intel-hd-graphics-english-black/N53386811A/p/,,,,2 Hours,,,,,,Black,,,2.4 GHz,1366x768,LCD,,Integrated,,Eye Care,,,Max,,,Yes,,256 GB,English,,,HP EliteBook 840 G3,840 G3,HP EliteBook,,Dual Core,1,,2,,Windows,,Windows 10,,,,Core i5,6th gen,,,,,8 GB,DDR3,,HD,,14 in,Yes,,,,,SSD,Business,,,,,4G/3G/Wireless/Bluetooth
"LOQ 15ARP9 Gaming Laptop With 15.6 Inch Full HD (1920x1080) Display, Ryzen 5-7235HS Processor/16GB RAM DDR5/512GB SSD/6GB Nvidia GeForce RTX 3050 Graphics/DOS(Without Windows)/ English/Arabic Luna Grey",2879.00,3.8,https://f.nooncdn.com/p/pnsku/N70340113V/45/_/1774964634/e27c17af-d417-4752-855e-b68b7fd8f8f4.jpg?width=1200,Ryzen 5-7235HS,16 GB,512 GB,15.6 in,Free DOS,1920x1080,83JC00P7AD,https://www.noon.com/saudi-en/loq-15arp9-gaming-laptop-with-15-6-inch-full-hd-1920x1080-display-ryzen-5-7235hs-processor-16gb-ram-ddr5-512gb-ssd-6gb-nvidia-geforce-rtx-3050-graphics-dos-without-windows-english-arabic-luna-grey/N70340113V/p/,,,,,,,,,,Luna Grey,,,3.2 GHz,1920x1080,,,Graphic Card,,,,NVIDIA GeForce RTX 3050,,6 GB,,,,512 GB,English/Arabic,,,LOQ,83JC00P7AD,Lenovo LOQ,,Quad Core,,,,,DOS,,Free DOS,,,,Ryzen 5-7235HS,Not Applicable,,,,,16 GB,DDR5,,Full HD,,15.6 in,,,,,,SSD,Gaming,,,,,
"OmniBook Ultra Flip 14 2-in-1 - Copilot+ Laptop - Intel Core Ultra 7 256V, 16GB LPDDR5x, 4TB SSD,16 Inch 3K OLED Touchscreen, Windows 11 Home, English/Arabic Eclipse Gray",7999.00,4.1,https://f.nooncdn.com/p/pnsku/N70259423V/45/_/1763447597/f0e61e1e-117a-420e-bbae-6455e634c0c9.jpg?width=1200,Intel Ultra 7 256V,16 GB,4 TB,14 in,Windows 11 Home,2880x1800,A9SR3UA,https://www.noon.com/saudi-en/omnibook-ultra-flip-14-2-in-1-copilot-laptop-intel-core-ultra-7-256v-16gb-lpddr5x-4tb-ssd-16-inch-3k-oled-touchscreen-windows-11-home-english-arabic-eclipse-gray/N70259423V/p/,,,,,,,,,,Eclipse Gray,,,2.2 GHz,2880x1800,OLED,,Integrated,,Touchscreen,,Intel Arc,,,,,,4 TB,English/Arabic,,,OmniBook,A9SR3UA,,,Octa Core,,,,,Windows,,Windows 11 Home,,,,Intel Ultra 7 256V,2nd Gen,,,,,16 GB,LPDDR5,60Hz,2.8K,,14 in,,,,,,SSD,Business,,International Version,,Device + Charger,
,4299.00,4.6,https://f.nooncdn.com/p/pnsku/N70246733V/45/_/1768825891/4b3ca0fc-396b-4874-9d58-7f9468feffc1.jpg?width=1200,Core Ultra 7- 255H,16 GB,512 GB,16 in,Free DOS,1920x1200,21SR0063AD,https://www.noon.com/saudi-en/thinkpad-e16-gen-3-laptop-with-16-inch-wuxga-1920x1200-display-core-ultra-7-255h-processor-16gb-ram-ddr5-512gb-ssd-integrated-intel-arc-140t-graphics-dos-without-windows-english-arabic-black/N70246733V/p/,,,,,,,,,,Black,,,1.5 GHz,1920x1200,,,Integrated,,,,,,,,,,512 GB,English/Arabic,,,ThinkPad E16 Gen 3,21SR0063AD,Lenovo ThinkPad,,16-Core,,,,,DOS,,Free DOS,,,,Core Ultra 7- 255H,Not Applicable,,,,,16 GB,DDR5,,WUXGA,,16 in,,,,,,SSD,Business,,,,,
"LOQ 15AHP10 Gaming Laptop With 15.6 Inch Full HD (1920x1080) Display, AMD Ryzen 7 250 Processor/16GB RAM DDR5/1TB SSD/8GB Nvidia GeForce RTX 5060 Graphics/Windows 11 Home/ English/Arabic Luna Grey",5955.00,3.8,https://f.nooncdn.com/p/pnsku/N70337000V/45/_/1774518424/d36cc5dd-76ff-4344-aa07-f593a824268f.jpg?width=1200,AMD Ryzen 7 250,16 GB,1 TB,15.6 in,Windows 11 Home,1920x1080,83JG006MAD,https://www.noon.com/saudi-en/loq-15ahp10-gaming-laptop-with-15-6-inch-full-hd-1920x1080-display-amd-ryzen-7-250-processor-16gb-ram-ddr5-1tb-ssd-8gb-nvidia-geforce-rtx-5060-graphics-windows-11-home-english-arabic-luna-grey/N70337000V/p/,,,,,,,,,,Luna Grey,,,3.3 GHz,1920x1080,,,Graphic Card,,,,,,8 GB,,,,1 TB,English/Arabic,,,,83JG006MAD,Lenovo LOQ,,Octa Core,,,,,Windows,,Windows 11 Home,,,,AMD Ryzen 7 250,Not Applicable,,,,,16 GB,DDR5,,Full HD,,15.6 in,,,,,,SSD,Gaming,,,,,
"Katana 15 HX B14WFK Gaming Laptop With 15.6 Inch Full HD (1920x1080) Display, Core i7-14650HX Processor/16GB RAM DDR5/512GB SSD/8GB Nvidia GeForce RTX 5060 Graphics/DOS(Without Windows)/ Black",6099.00,4.3,https://f.nooncdn.com/p/pzsku/ZBC1DB2C15A98846E1953Z/45/_/1771581766/929e028b-1ee3-47fc-b7fc-3df324a6589f.jpg?width=1200,Core i7-14650HX,16 GB,512 GB,15.6 in,Free DOS,1920x1080,9S7-1587C1-870,https://www.noon.com/saudi-en/katana-15-hx-b14wfk-gaming-laptop-with-15-6-inch-full-hd-1920x1080-display-core-i7-14650hx-processor-16gb-ram-ddr5-512gb-ssd-8gb-nvidia-geforce-rtx-5060-graphics-dos-without-windows-black/N70296286V/p/,,,,,,,,,,Black,,,2.4 GHz,1920x1080,,,Graphic Card,,,,,,,,,,512 GB,,,,Katana 15 HX B14WFK,9S7-1587C1-870,MSI Katana,,16-Core,,,,,DOS,,Free DOS,,,,Core i7-14650HX,14th Gen,,,,,16 GB,DDR5,,Full HD,,15.6 in,,,,,,SSD,Gaming,,,,,
"15-fd0021nx Laptop With 15.6 Inch Full HD (1920x1080) Display, Core i3- 1315U Processor/8GB DDR4/512GB SSD/Windows 11 Home/Intel Iris XE English/Arabic Silver",1648.00,3.6,https://f.nooncdn.com/p/pnsku/N70135292V/45/_/1735480360/d7822b04-1438-4570-bd30-738bbdc74b1a.jpg?width=1200,"Intel Core i3-1315U, 13th Genaration",8 GB,512 GB,15.6 in,Windows 11 Home,1920x1080,15-fd0021nx,https://www.noon.com/saudi-en/15-fd0021nx-laptop-with-15-6-inch-full-hd-1920x1080-display-core-i3-1315u-processor-8gb-ddr4-512gb-ssd-windows-11-home-intel-iris-xe-english-arabic-silver/N70135292V/p/,,,,8 Hours,,,,,,Silver,,,3.3 GHz,1920x1080,,,External Graphics,,,,Intel Iris XE,,,,,,512 GB,English/Arabic,,,HP 15-fd0021nx Laptop,15-fd0021nx,HP FD Series,,10-Core,,,,,Windows,,Windows 11 Home,,,,"Intel Core i3-1315U, 13th Genaration","Intel Core i3-1315U, 13th Genaration",,,,,8 GB,DDR4,,Full HD,,15.6 in,,,,,,SSD,Business,,,,,
"Ideapad Slim 3 (Upgraded Version) Laptop With 15.6-Inch Full HD Display, Core i5-13420H Processor/8GB RAM/512GB SSD/Intel UHD Graphics/Windows 11/ English/Arabic Arctic Grey",2099.00,4.2,https://f.nooncdn.com/p/pnsku/N70120081V/45/_/1729079237/bad3de9d-c15b-4096-90b7-0247d945474a.jpg?width=1200,Core i5-13420H,8 GB,512 GB,15.6 in,Windows 11,1920x1080,Ideapad Slim 3/W11,https://www.noon.com/saudi-en/ideapad-slim-3-upgraded-version-laptop-with-15-6-inch-full-hd-display-core-i5-13420h-processor-8gb-ram-512gb-ssd-intel-uhd-graphics-windows-11-english-arabic-arctic-grey/N70120081V/p/,,,,8 Hours,,,,,,Arctic Grey,,HDMI,3.4 GHz,1920x1080,LED,,Integrated,,Upgraded Version,,Intel UHD 600,,,,Yes,,512 GB,English/Arabic,,,Ideapad slim 3,Ideapad Slim 3/W11,Lenovo IdeaPad,,Hexa Core,1,,4,,Windows,,Windows 11,,,,Core i5-13420H,13th Gen,,,,,8 GB,LPDDR5,,Full HD,,15.6 in,Yes,,,,,SSD,Business,,,,,
"IdeaPad 5 2-in-1 Laptop With 14-Inch Full HD WUXGA(1920x1080) Display IPS,Core i5-13420H Processor/8GB RAM/512GB SSD/Intel UHD Graphics/DOS(Without Windows) English/Arabic Luna Grey",2675.00,5.0,https://f.nooncdn.com/p/pnsku/N70127025V/45/_/1731227862/bd2c59e4-2faf-48df-85fc-57a3d883079b.jpg?width=1200,Core i5-13420H,8 GB,512 GB,14 in,Free DOS,1920x1080,83KX004EAD,https://www.noon.com/saudi-en/ideapad-5-2-in-1-laptop-with-14-inch-full-hd-wuxga-1920x1080-display-ips-core-i5-13420h-processor-8gb-ram-512gb-ssd-intel-uhd-graphics-dos-without-windows-english-arabic-luna-grey/N70127025V/p/,,,,8 Hours,,,,,,Luna Grey,,,1.5 GHz,1920x1080,IPS,,Integrated,,,,Intel UHD 600,,,,Yes,,512 GB,English/Arabic,,,IdeaPad 5 2-in-1,83KX004EAD,Lenovo IdeaPad,,Octa Core,1,,2,,DOS,,Free DOS,,,,Core i5-13420H,13th Gen,,,,,8 GB,DDR5,,WUXGA,,14 in,Yes,,,,,SSD,Business,,,,,
"VivoBook 15 Laptop With 15.6 Inch Full HD (1920X1080) Display 60Hz, Core 7 150U Processor/16GB RAM DDR4/512GB SSD/Windows 11 Home/ English/Arabic Quiet Blue",2399.00,4.2,https://f.nooncdn.com/p/pnsku/N70252800V/45/_/1766394663/143fc555-7e43-467c-bfb4-82a55a62798e.jpg?width=1200,Core 7 150U,16 GB,512 GB,15.6 in,Windows 11 Home,1920x1080,X1504VA-BQ3781W,https://www.noon.com/saudi-en/vivobook-15-laptop-with-15-6-inch-full-hd-1920x1080-display-60hz-core-7-150u-processor-16gb-ram-ddr4-512gb-ssd-windows-11-home-english-arabic-quiet-blue/N70252800V/p/,,,,,,,,,,Quiet Blue,,,1.8 GHz,1920x1080,,,Integrated,,,,,,,,,,512 GB,English/Arabic,,,VivoBook 15,X1504VA-BQ3781W,ASUS Vivobook,,Deca core,,,,,Windows,,Windows 11 Home,,,,Core 7 150U,1st Gen,,,,,16 GB,DDR4,,Full HD,,15.6 in,,,,,,SSD,Business,,,,,
"Renewed - Latitude 7400 Laptop With 14-Inch Full HD Display,Core i7 Processor/Quad Core/8GB RAM/256GB SSD/Intel UHD Graphics 620/Windows 10 English Black",803.00,4.3,https://f.nooncdn.com/p/pnsku/N70084867V/45/_/1718114476/b52e23d5-4215-4b2c-87cd-135913161c5c.jpg?width=1200,Core i7,8 GB,256 GB,14 in,Windows 10,1920x1080,E7400,https://www.noon.com/saudi-en/renewed-latitude-7400-laptop-with-14-inch-full-hd-display-core-i7-processor-quad-core-8gb-ram-256gb-ssd-intel-uhd-graphics-620-windows-10-english-black/N70084867V/p/,,,,2 Hours,,,,,,Black,,,1.6 GHz,1920x1080,IPS,,Processor Graphics,,,,Intel UHD 620,Max,,,Yes,,256 GB,English,,,Latitude 7400,E7400,Dell Latitude,,Quad Core,1,,2,,Windows,,Windows 10,,,,Core i7,8th Gen,18.96 mm,321.35 mm,1.36 KG,214.08 mm,8 GB,DDR4,,Full HD,,14 in,Yes,,,,,SSD,Business,,International Version,1 - 1.4 Kg,,
"LOQ Gaming Laptop With 15.6 Inch Full HD (1920x1080) Display, Core i7-13700HX Processor/32GB RAM DDR5/1TB SSD/8GB Nvidia Geforce RTX 5060 Graphics/Windows 11 Home/ English/Arabic Luna Grey",6199.00,4.6,https://f.nooncdn.com/p/pnsku/N70284054V/45/_/1769956740/b14a2706-44c8-4c4c-bd99-acbc7de5bb2b.jpg?width=1200,Core i7-13700HX,32 GB,1 TB,15.6 in,Windows 11 Home,1920x1080,83JE0112AD,https://www.noon.com/saudi-en/loq-gaming-laptop-with-15-6-inch-full-hd-1920x1080-display-core-i7-13700hx-processor-32gb-ram-ddr5-1tb-ssd-8gb-nvidia-geforce-rtx-5060-graphics-windows-11-home-english-arabic-luna-grey/N70284054V/p/,,,,,,,,,,Luna Grey,,,1.5 GHz,1920x1080,,,Graphic Card,,,,,,8 GB,,,,1 TB,English/Arabic,,,,83JE0112AD,Lenovo LOQ,,16-Core,,,,,Windows,,Windows 11 Home,,,,Core i7-13700HX,13th Gen,,,,,32 GB,DDR5,,Full HD,,15.6 in,,,,,,SSD,Gaming,,,,,
"Legion 9 18IAX10 Gaming Laptop With 18 Inch WQUXGA (3840x2400) Mini LED 240Hz Display, Core Ultra 9 275HX Processor/64GB RAM DDR5/2TB SSD/24GB Nvidia GeForce RTX 5090 Graphics/Windows 11/ English/Arabic Eclipse Black",17699.00,5.0,https://f.nooncdn.com/p/pnsku/N70201599V/45/_/1764242273/73b76614-990d-4ef0-a378-1bc2b7a3eeb7.jpg?width=1200,Core Ultra 9-275HX,64 GB,2 TB,18 in,Windows 11,3840x2400,83EY000KAD,https://www.noon.com/saudi-en/legion-9-18iax10-gaming-laptop-with-18-inch-wquxga-3840x2400-mini-led-240hz-display-core-ultra-9-275hx-processor-64gb-ram-ddr5-2tb-ssd-24gb-nvidia-geforce-rtx-5090-graphics-windows-11-english-arabic-eclipse-black/N70201599V/p/,,,,,,,,,,Eclipse Black,,,2.7 GHz,3840x2400,,,Graphic Card,,,,GeForce RTX 5090,,24 GB,,,,2 TB,English/Arabic,,,,83EY000KAD,Lenovo Legion,,24-Core,,,,,Windows,,Windows 11,,,,Core Ultra 9-275HX,Not Applicable,,,,,64 GB,DDR5,240Hz,,,18 in,,,,,,SSD,Gaming,,,,,
"IdeaPad Slim 3 15IRH10 (Upgraded Version) Laptop With 15.3 Inch WUXGA (1920x1200) IPS Display, Core i7-13620H Processor/8GB RAM DDR5/512GB SSD/Intel UHD Graphics/Windows 11 Pro/ English/Arabic Luna Grey",2349.00,3.8,https://f.nooncdn.com/p/pnsku/N70284917V/45/_/1770102789/034736f6-dc81-4fc2-bea0-ad1924e79b37.jpg?width=1200,Core i7-13620H,8 GB,512 GB,15.3 in,Windows 11 Pro,1920x1200,Slim 3 15IRH10,https://www.noon.com/saudi-en/ideapad-slim-3-15irh10-upgraded-version-laptop-with-15-3-inch-wuxga-1920x1200-ips-display-core-i7-13620h-processor-8gb-ram-ddr5-512gb-ssd-intel-uhd-graphics-windows-11-pro-english-arabic-luna-grey/N70284917V/p/,,,,,,,,,,Luna Grey,,,2.4 GHz,1920x1200,,,Integrated,,,,,,,,,,512 GB,English/Arabic,,,,Slim 3 15IRH10,Lenovo Slim,,Deca core,,,,,Windows,,Windows 11 Pro,,,,Core i7-13620H,13th Gen,,,,,8 GB,DDR5,,WUXGA,,15.3 in,,,,,,SSD,Business,,,,,
Fit Up Laptop Bag 15.6-Inch Black,89.00,5.0,https://f.nooncdn.com/p/v1527231796/N14697914A_1.jpg?width=1200,,,,,,,BG-26-7,https://www.noon.com/saudi-en/fit-up-laptop-bag-15-6-inch-black/N14697914A/p/,,,,,,,,,,Black,,,,,,,,,,Men,,,,,,,,,,,,BG-26-7,,,,,,,,,,,,,,,,40 in,38 in,,40 in,,,,,,,,,,15.6 inch,,,,,,,,
"13.6-inch MacBook Air MC7X4: Apple M2 chip with 8-core CPU and 8-core GPU, 16GB, 256GB - Midnight English/Arabic Midnight",,,https://f.nooncdn.com/p/pzsku/Z96AA749D5C0DD23F737FZ/45/_/1779095161/5b2e45de-68e5-4842-9ad3-a3c145e9ee74.jpg?width=1200,Apple M2 chip with 8-core CPU and 8-core GPU,16 GB,256 GB,13.6 in,Mac OS X High Sierra,2560x1600,MC7X4AB/A,https://www.noon.com/saudi-en/13-6-inch-macbook-air-mc7x4-apple-m2-chip-with-8-core-cpu-and-8-core-gpu-16gb-256gb-midnight-english-arabic-midnight/N70126482V/p/,,,,16 Hours,,,,,,Midnight,,,2.4 GHz,2560x1600,Retina Display,,Integrated,,,,,,,,Yes,,256 GB,English/Arabic,,,MacBook Air,MC7X4AB/A,Apple MacBook Air,,16-Core,,,4,,macOS,,Mac OS X High Sierra,,,,Apple M2 chip with 8-core CPU and 8-core GPU,Not Applicable,,,,,16 GB,DDR4,,,,13.6 in,Yes,,,,,SSD,Personal,,Middle East Version,,,
"Zenbook Laptop With 14-Inch OLED WUXGA (1920x1200) Display, Snapdragon X X126100 Purwa SE Qualcomm Hexagon NPU up to 45TOPS Processor/16GB RAM DDR5/1TB SSD/Qualcomm Aderno Graphics/Windows 11 Home/Full HD Camera+Free Sleeve English/Arabic Zabriskie Beige",3589.00,4.3,https://f.nooncdn.com/p/pnsku/N70145755V/45/_/1770271308/43cd80dd-9b46-4eba-9ef2-5727c1b61d58.jpg?width=1200,Snapdragon X X126100 Purwa SE,16 GB,1 TB,14 in,Windows 11 Home,1920x1200,UX3407QA-QD180W,https://www.noon.com/saudi-en/zenbook-laptop-with-14-inch-oled-wuxga-1920x1200-display-snapdragon-x-x126100-purwa-se-qualcomm-hexagon-npu-up-to-45tops-processor-16gb-ram-ddr5-1tb-ssd-qualcomm-aderno-graphics-windows-11-home-full-hd-camera-free-sleeve-english-arabic-zabriskie-beig/N70145755V/p/,,,,10 Hours,,,,,,Zabriskie Beige,,,2.4 GHz,1920x1200,OLED,,Integrated,,,,,,,,Yes,,1 TB,English/Arabic,,,Zenbook 14,UX3407QA-QD180W,ASUS Zenbook,,16-Core,,,2,,Windows,,Windows 11 Home,,,,Snapdragon X X126100 Purwa SE,Not Applicable,,,0.99 KG,,16 GB,DDR4,,WUXGA,,14 in,Yes,,,,,SSD,Personal,,,Upto 1 Kg,,
"Renewed - MacBook Pro A2289 Laptop With 13-Inch Display, Core i5 Processor/8GB RAM/256GB SSD/Intel Iris Plus Graphics 645 English Space Grey",2699.00,4.3,https://f.nooncdn.com/p/pzsku/Z948E01BAB8016B0CD577Z/45/_/1779095098/08e12b53-9057-42e9-a67a-0a45750049db.jpg?width=1200,Core i5,8 GB,256 GB,13 in,OS X,2560x1600,A2289,https://www.noon.com/saudi-en/renewed-macbook-pro-a2289-laptop-with-13-inch-display-core-i5-processor-8gb-ram-256gb-ssd-intel-iris-plus-graphics-645-english-space-grey/N70289521V/p/,,,,2 Hours,,,,,,Space Grey,,,1.4 GHz,2560x1600,,,,,"Built In Speaker, Gaming, Compact Size",,,Max,1.5 GB,,,,256 GB,English,,,Macbook Pro,A2289,Apple MacBook Pro,,Quad Core,,,,,macOS,,OS X,,,,Core i5,8th Gen,,,,,8 GB,DDR3,,,,13 in,,,,,,SSD,Business,,,,POWER CABLE,
"ProBook 400 455 G10 (Upgraded Version) Laptop With 15.6-Inch Display, AMD Ryzen 5-7530U Processor/8GB RAM/512GB SSD/AMD Radeon Graphics/DOS(Without Windows)+BAG English/Arabic Silver",2299.00,4.1,https://f.nooncdn.com/p/pnsku/N70081434V/45/_/1717399351/f858eed3-9244-49a4-a91b-1047ad41e80e.jpg?width=1200,Ryzen 7 7730U,8 GB,512 GB,15.6 in,Free DOS,1920x1200,854K2ES,https://www.noon.com/saudi-en/probook-400-455-g10-upgraded-version-laptop-with-15-6-inch-display-amd-ryzen-5-7530u-processor-8gb-ram-512gb-ssd-amd-radeon-graphics-dos-without-windows-bag-english-arabic-silver/N70081434V/p/,,,,8 Hours,,,,,,Silver,,,2 GHz,1920x1200,LED,,Graphic Card,,,,AMD Radeon 530,,4 GB,,Yes,,512 GB,English/Arabic,,,ProBook 400 455 G10,854K2ES,HP ProBook,,14-Core,1,,3,,DOS,,Free DOS,,,,Ryzen 7 7730U,7th Gen,,,,,8 GB,DDR4,,Full HD,,15.6 in,Yes,,,,,SSD,Personal,,Middle East Version,,,
